,Year,usertype,Neighborhood ID,Neighborhood Name,Number of Rides
0,2013,Customer,1,Grand Boulevard,876
1,2013,Customer,14,Logan Square,2565
2,2013,Customer,2,Printers Row,2532
3,2013,Customer,27,Loop,61706
4,2013,Customer,3,United Center,753
5,2013,Customer,31,Greektown,979
6,2013,Customer,32,Douglas,4813
7,2013,Customer,33,Museum Campus,11999
8,2013,Customer,34,Edgewater,362
9,2013,Customer,35,Lake View,18777
10,2013,Customer,36,Lincoln Park,33305
11,2013,Customer,38,Lincoln Square,2184
12,2013,Customer,4,Sheffield & DePaul,6770
13,2013,Customer,40,Grant Park,3923
14,2013,Customer,41,West Loop,21175
15,2013,Customer,46,Rush & Division,6339
16,2013,Customer,47,"Little Italy, UIC",6815
17,2013,Customer,48,Kenwood,1096
18,2013,Customer,5,Humboldt Park,663
19,2013,Customer,57,Uptown,5437
20,2013,Customer,59,Streeterville,44476
21,2013,Customer,64,North Center,1780
22,2013,Customer,66,Washington Park,118
23,2013,Customer,67,Millenium Park,14034
24,2013,Customer,68,Near South Side,14545
25,2013,Customer,69,Chinatown,1271
26,2013,Customer,75,Hyde Park,2335
27,2013,Customer,76,Bucktown,2872
28,2013,Customer,77,Lower West Side,3648
29,2013,Customer,78,Wrigleyville,5016
30,2013,Customer,8,Little Village,220
31,2013,Customer,82,East Village,780
32,2013,Customer,83,West Town,9156
33,2013,Customer,84,Bridgeport,1494
34,2013,Customer,89,Wicker Park,9965
35,2013,Customer,90,Ukrainian Village,1055
36,2013,Customer,93,Old Town,12208
37,2013,Customer,96,Gold Coast,10906
38,2013,Customer,97,Boystown,594
39,2013,Customer,98,River North,27210
40,2013,Subscriber,1,Grand Boulevard,718
41,2013,Subscriber,14,Logan Square,3334
42,2013,Subscriber,2,Printers Row,2498
43,2013,Subscriber,27,Loop,79370
44,2013,Subscriber,3,United Center,764
45,2013,Subscriber,31,Greektown,1870
46,2013,Subscriber,32,Douglas,2097
47,2013,Subscriber,33,Museum Campus,1858
48,2013,Subscriber,34,Edgewater,293
49,2013,Subscriber,35,Lake View,22382
50,2013,Subscriber,36,Lincoln Park,23616
51,2013,Subscriber,38,Lincoln Square,3472
52,2013,Subscriber,4,Sheffield & DePaul,9415
53,2013,Subscriber,40,Grant Park,2949
54,2013,Subscriber,41,West Loop,71857
55,2013,Subscriber,46,Rush & Division,7896
56,2013,Subscriber,47,"Little Italy, UIC",12898
57,2013,Subscriber,48,Kenwood,938
58,2013,Subscriber,5,Humboldt Park,893
59,2013,Subscriber,57,Uptown,4794
60,2013,Subscriber,59,Streeterville,18354
61,2013,Subscriber,64,North Center,2917
62,2013,Subscriber,66,Washington Park,121
63,2013,Subscriber,67,Millenium Park,3238
64,2013,Subscriber,68,Near South Side,10016
65,2013,Subscriber,69,Chinatown,973
66,2013,Subscriber,75,Hyde Park,1668
67,2013,Subscriber,76,Bucktown,5461
68,2013,Subscriber,77,Lower West Side,4377
69,2013,Subscriber,78,Wrigleyville,5091
70,2013,Subscriber,8,Little Village,61
71,2013,Subscriber,82,East Village,1302
72,2013,Subscriber,83,West Town,15693
73,2013,Subscriber,84,Bridgeport,1364
74,2013,Subscriber,89,Wicker Park,12408
75,2013,Subscriber,90,Ukrainian Village,1639
76,2013,Subscriber,93,Old Town,12386
77,2013,Subscriber,96,Gold Coast,4133
78,2013,Subscriber,97,Boystown,1238
79,2013,Subscriber,98,River North,46684
80,2014,Customer,1,Grand Boulevard,1937
81,2014,Customer,14,Logan Square,7317
82,2014,Customer,2,Printers Row,2916
83,2014,Customer,27,Loop,122336
84,2014,Customer,3,United Center,1454
85,2014,Customer,31,Greektown,2013
86,2014,Customer,32,Douglas,13201
87,2014,Customer,33,Museum Campus,32369
88,2014,Customer,34,Edgewater,2477
89,2014,Customer,35,Lake View,54840
90,2014,Customer,36,Lincoln Park,101323
91,2014,Customer,38,Lincoln Square,5203
92,2014,Customer,4,Sheffield & DePaul,12585
93,2014,Customer,40,Grant Park,20287
94,2014,Customer,41,West Loop,31032
95,2014,Customer,46,Rush & Division,15198
96,2014,Customer,47,"Little Italy, UIC",11525
97,2014,Customer,48,Kenwood,3963
98,2014,Customer,5,Humboldt Park,1937
99,2014,Customer,57,Uptown,21623
100,2014,Customer,59,Streeterville,96807
101,2014,Customer,64,North Center,5391
102,2014,Customer,66,Washington Park,449
103,2014,Customer,67,Millenium Park,22314
104,2014,Customer,68,Near South Side,21881
105,2014,Customer,69,Chinatown,3427
106,2014,Customer,75,Hyde Park,7541
107,2014,Customer,76,Bucktown,7532
108,2014,Customer,77,Lower West Side,5750
109,2014,Customer,78,Wrigleyville,8666
110,2014,Customer,8,Little Village,224
111,2014,Customer,82,East Village,693
112,2014,Customer,83,West Town,15344
113,2014,Customer,84,Bridgeport,2198
114,2014,Customer,89,Wicker Park,17038
115,2014,Customer,90,Ukrainian Village,2723
116,2014,Customer,93,Old Town,29247
117,2014,Customer,96,Gold Coast,26768
118,2014,Customer,97,Boystown,5272
